ticker,nome,tipo,segmento,categoria
AAZQ11,AAZQ11,Outros,Outros,FII
ABCP11,ABCP11,Shoppings,Shoppings,FII
AFHF11,AFHF11,Outros,Outros,FII
AFHI11,AFHI11,Outros,Outros,FII
AGRX11,AGRX11,Outros,Outros,FII
AIEC11,AIEC11,Escritórios,Escritórios,FII
AJFI11,AJFI11,Shoppings,Shoppings,FII
ALMI11,ALMI11,Escritórios,Escritórios,FII
ALZC11,ALZC11,Outros,Outros,FII
ALZR11,ALZR11,Multicategoria,Multicategoria,FII
ANCR11,ANCR11,Shoppings,Shoppings,FII
APTO11,APTO11,Residencial,Residencial,FII
APXM11,APXM11,Shoppings,Shoppings,FII
AROA11,AROA11,Multicategoria,Multicategoria,FII
ARRI11,ARRI11,Multicategoria,Multicategoria,FII
ARXD11,ARXD11,Multicategoria,Multicategoria,FII
ASMT11,ASMT11,Outros,Outros,FII
ASRF11,ASRF11,Outros,Outros,FII
ATSA11,ATSA11,Shoppings,Shoppings,FII
AURB11,AURB11,Logística,Logística,FII
AZPL11,AZPL11,Logística,Logística,FII
BBFI11,BBFI11,Escritórios,Escritórios,FII
BBFO11,BBFO11,Multicategoria,Multicategoria,FII
BBGO11,BBGO11,Outros,Outros,FII
BBIG11,BBIG11,Shoppings,Shoppings,FII
BBRC11,BBRC11,Outros,Outros,FII
BCIA11,BCIA11,Multicategoria,Multicategoria,FII
BCRI11,BCRI11,Outros,Outros,FII
BGRB11,BGRB11,Escritórios,Escritórios,FII
BICE11,BICE11,Outros,Outros,FII
BIME11,BIME11,Outros,Outros,FII
BLCA11,BLCA11,Escritórios,Escritórios,FII
BLMG11,BLMG11,Multicategoria,Multicategoria,FII
BLMO11,BLMO11,Escritórios,Escritórios,FII
BLOG11,BLOG11,Multicategoria,Multicategoria,FII
BMLC11,BMLC11,Outros,Outros,FII
BNFS11,BNFS11,Varejo,Varejo,FII
BPML11,BPML11,Multicategoria,Multicategoria,FII
BRCO11,BRCO11,Logística,Logística,FII
BRCR11,BRCR11,Multicategoria,Multicategoria,FII
BRIM11,BRIM11,Residencial,Residencial,FII
BRIP11,BRIP11,Multicategoria,Multicategoria,FII
BROF11,BROF11,Multicategoria,Multicategoria,FII
BTAL11,BTAL11,Logística,Logística,FII
BTCI11,BTCI11,Outros,Outros,FII
BTHF11,BTHF11,Outros,Outros,FII
BTHI11,BTHI11,Hotel,Hotel,FII
BTLG11,BTLG11,Outros,Outros,FII
BTRA11,BTRA11,Outros,Outros,FII
BTSG11,BTSG11,Logística,Logística,FII
BTWR11,BTWR11,Escritórios,Escritórios,FII
BTYU11,BTYU11,Outros,Outros,FII
BVAR11,BVAR11,Varejo,Varejo,FII
CACR11,CACR11,Multicategoria,Multicategoria,FII
CARE11,CARE11,Multicategoria,Multicategoria,FII
CBOP11,CBOP11,Escritórios,Escritórios,FII
CCME11,CCME11,Outros,Outros,FII
CEOC11,CEOC11,Escritórios,Escritórios,FII
CFHI11,CFHI11,Multicategoria,Multicategoria,FII
CFII11,CFII11,Multicategoria,Multicategoria,FII
CJCT11,CJCT11,Escritórios,Escritórios,FII
CLIN11,CLIN11,Outros,Outros,FII
CNES11,CNES11,Escritórios,Escritórios,FII
CPLG11,CPLG11,Logística,Logística,FII
CPOF11,CPOF11,Outros,Outros,FII
CPSH11,CPSH11,Shoppings,Shoppings,FII
CPTR11,CPTR11,Outros,Outros,FII
CPTS11,CPTS11,Outros,Outros,FII
CPUR11,CPUR11,Outros,Outros,FII
CRAA11,CRAA11,Títulos e Val. Mob.,Títulos e Val. Mob.,FII
CRFF11,CRFF11,Multicategoria,Multicategoria,FII
CTXT11,CTXT11,Escritórios,Escritórios,FII
CVBI11,CVBI11,Outros,Outros,FII
CXAG11,CXAG11,Varejo,Varejo,FII
CXCE11,CXCE11,Escritórios,Escritórios,FII
CXCI11,CXCI11,Multicategoria,Multicategoria,FII
CXCO11,CXCO11,Multicategoria,Multicategoria,FII
CXRI11,CXRI11,Multicategoria,Multicategoria,FII
CXTL11,CXTL11,Logística,Logística,FII
DAMA11,DAMA11,Outros,Outros,FII
DAMT11,DAMT11,Shoppings,Shoppings,FII
DAYM11,DAYM11,Outros,Outros,FII
DCRA11,DCRA11,Outros,Outros,FII
DEVA11,DEVA11,Multicategoria,Multicategoria,FII
DPRO11,DPRO11,Multicategoria,Multicategoria,FII
DVFF11,DVFF11,Outros,Outros,FII
EDFO11,EDFO11,Residencial,Residencial,FII
EDGA11,EDGA11,Outros,Outros,FII
EGAF11,EGAF11,Títulos e Val. Mob.,Títulos e Val. Mob.,FII
EIRA11,EIRA11,Multicategoria,Multicategoria,FII
EMET11,EMET11,Multicategoria,Multicategoria,FII
EQIR11,EQIR11,Outros,Outros,FII
ERPA11,ERPA11,Multicategoria,Multicategoria,FII
EURO11,EURO11,Logística,Logística,FII
EXES11,EXES11,Outros,Outros,FII
FAED11,FAED11,Outros,Outros,FII
FAMB11,FAMB11,Outros,Outros,FII
FATN11,FATN11,Multicategoria,Multicategoria,FII
FCFL11,FCFL11,Outros,Outros,FII
FGAA11,FGAA11,Outros,Outros,FII
FIGS11,FIGS11,Shoppings,Shoppings,FII
FIIB11,FIIB11,Logística,Logística,FII
FIIP11,FIIP11,Logística,Logística,FII
FISC11,FISC11,Escritórios,Escritórios,FII
FIXX11,FIXX11,Outros,Outros,FII
FLCR11,FLCR11,Outros,Outros,FII
FLMA11,FLMA11,Escritórios,Escritórios,FII
FLRP11,FLRP11,Shoppings,Shoppings,FII
FMOF11,FMOF11,Escritórios,Escritórios,FII
FPAB11,FPAB11,Escritórios,Escritórios,FII
FPNG11,FPNG11,Multicategoria,Multicategoria,FII
FTCA11,FTCA11,Outros,Outros,FII
FTCE11,FTCE11,Multicategoria,Multicategoria,FII
FVPQ11,FVPQ11,Shoppings,Shoppings,FII
FYTO11,FYTO11,Outros,Outros,FII
FZDA11,FZDA11,Outros,Outros,FII
FZDB11,FZDB11,Outros,Outros,FII
GAME11,GAME11,Outros,Outros,FII
GARE11,GARE11,Multicategoria,Multicategoria,FII
GCOI11,GCOI11,Residencial,Residencial,FII
GCRA11,GCRA11,Multicategoria,Multicategoria,FII
GCRI11,GCRI11,Outros,Outros,FII
GFDL11,GFDL11,Logística,Logística,FII
GGRC11,GGRC11,Multicategoria,Multicategoria,FII
GLCR11,GLCR11,Multicategoria,Multicategoria,FII
GLOG11,GLOG11,Logística,Logística,FII
GLPF11,GLPF11,Logística,Logística,FII
GRUL11,GRUL11,Logística,Logística,FII
GRWA11,GRWA11,Outros,Outros,FII
GSFI11,GSFI11,Shoppings,Shoppings,FII
GTWR11,GTWR11,Escritórios,Escritórios,FII
GZIT11,GZIT11,Shoppings,Shoppings,FII
HAAA11,HAAA11,Escritórios,Escritórios,FII
HABT11,HABT11,Multicategoria,Multicategoria,FII
HBCR11,HBCR11,Outros,Outros,FII
HCHG11,HCHG11,Outros,Outros,FII
HCRI11,HCRI11,Hospital,Hospital,FII
HCTR11,HCTR11,Multicategoria,Multicategoria,FII
HDEL11,HDEL11,Logística,Logística,FII
HFOF11,HFOF11,Multicategoria,Multicategoria,FII
HGAG11,HGAG11,Outros,Outros,FII
HGBL11,HGBL11,Logística,Logística,FII
HGBS11,HGBS11,Shoppings,Shoppings,FII
HGCR11,HGCR11,Outros,Outros,FII
HGIC11,HGIC11,Multicategoria,Multicategoria,FII
HGLG11,HGLG11,Multicategoria,Multicategoria,FII
HGPO11,HGPO11,Escritórios,Escritórios,FII
HGRE11,HGRE11,Escritórios,Escritórios,FII
HGRU11,HGRU11,Outros,Outros,FII
HLOG11,HLOG11,Logística,Logística,FII
HOFC11,HOFC11,Escritórios,Escritórios,FII
HOSI11,HOSI11,Residencial,Residencial,FII
HPDP11,HPDP11,Shoppings,Shoppings,FII
HRDF11,HRDF11,Multicategoria,Multicategoria,FII
HREC11,HREC11,Multicategoria,Multicategoria,FII
HRES11,HRES11,Multicategoria,Multicategoria,FII
HSAF11,HSAF11,Outros,Outros,FII
HSLG11,HSLG11,Logística,Logística,FII
HSML11,HSML11,Shoppings,Shoppings,FII
HSRE11,HSRE11,Outros,Outros,FII
HTMX11,HTMX11,Hotel,Hotel,FII
HUCG11,HUCG11,Hospital,Hospital,FII
HUSC11,HUSC11,Hospital,Hospital,FII
HUSI11,HUSI11,Hospital,Hospital,FII
IAAG11,IAAG11,Outros,Outros,FII
IAGR11,IAGR11,Multicategoria,Multicategoria,FII
IBBP11,IBBP11,Logística,Logística,FII
IBCR11,IBCR11,Outros,Outros,FII
ICRI11,ICRI11,Outros,Outros,FII
INLG11,INLG11,Logística,Logística,FII
INRD11,INRD11,Residencial,Residencial,FII
IRDM11,IRDM11,Outros,Outros,FII
IRIM11,IRIM11,Outros,Outros,FII
ISCJ11,ISCJ11,Outros,Outros,FII
ITIP11,ITIP11,Outros,Outros,FII
ITIT11,ITIT11,Outros,Outros,FII
ITRI11,ITRI11,Outros,Outros,FII
JASC11,JASC11,Varejo,Varejo,FII
JCCJ11,JCCJ11,Shoppings,Shoppings,FII
JCIN11,JCIN11,Shoppings,Shoppings,FII
JFLL11,JFLL11,Multicategoria,Multicategoria,FII
JGPX11,JGPX11,Outros,Outros,FII
JPPA11,JPPA11,Multicategoria,Multicategoria,FII
JPPC11,JPPC11,Multicategoria,Multicategoria,FII
JSAF11,JSAF11,Multicategoria,Multicategoria,FII
JSCR11,JSCR11,Multicategoria,Multicategoria,FII
JSRE11,JSRE11,Multicategoria,Multicategoria,FII
KCRE11,KCRE11,Multicategoria,Multicategoria,FII
KDOL11,KDOL11,Multicategoria,Multicategoria,FII
KEVE11,KEVE11,Residencial,Residencial,FII
KFOF11,KFOF11,Multicategoria,Multicategoria,FII
KISU11,KISU11,Outros,Outros,FII
KIVO11,KIVO11,Outros,Outros,FII
KNCA11,KNCA11,Títulos e Val. Mob.,Títulos e Val. Mob.,FII
KNCR11,KNCR11,Multicategoria,Multicategoria,FII
KNHF11,KNHF11,Multicategoria,Multicategoria,FII
KNHY11,KNHY11,Multicategoria,Multicategoria,FII
KNIP11,KNIP11,Multicategoria,Multicategoria,FII
KNRE11,KNRE11,Residencial,Residencial,FII
KNRI11,KNRI11,Multicategoria,Multicategoria,FII
KNSC11,KNSC11,Multicategoria,Multicategoria,FII
KNUQ11,KNUQ11,Multicategoria,Multicategoria,FII
KOPA11,KOPA11,Títulos e Val. Mob.,Títulos e Val. Mob.,FII
KORE11,KORE11,Outros,Outros,FII
LAFI11,LAFI11,Outros,Outros,FII
LASC11,LASC11,Shoppings,Shoppings,FII
LIFE11,LIFE11,Residencial,Residencial,FII
LPLP11,LPLP11,Residencial,Residencial,FII
LRDI11,LRDI11,Outros,Outros,FII
LSAG11,LSAG11,Títulos e Val. Mob.,Títulos e Val. Mob.,FII
LSOI11,LSOI11,Residencial,Residencial,FII
LTMT11,LTMT11,Multicategoria,Multicategoria,FII
LVBI11,LVBI11,Logística,Logística,FII
MALL11,MALL11,Shoppings,Shoppings,FII
MANA11,MANA11,Outros,Outros,FII
MAXR11,MAXR11,Outros,Outros,FII
MCCI11,MCCI11,Outros,Outros,FII
MCEM11,MCEM11,Outros,Outros,FII
MCLO11,MCLO11,Logística,Logística,FII
MCRE11,MCRE11,Outros,Outros,FII
MFII11,MFII11,Multicategoria,Multicategoria,FII
MGHT11,MGHT11,Hotel,Hotel,FII
MXRF11,MXRF11,Logística,Logística,FII
NAUI11,NAUI11,Multicategoria,Multicategoria,FII
NAVT11,NAVT11,Outros,Outros,FII
NCHB11B,NCHB11B,Outros,Outros,FII
NCRA11,NCRA11,Outros,Outros,FII
NCRI11,NCRI11,Outros,Outros,FII
NEWL11,NEWL11,Multicategoria,Multicategoria,FII
NEWU11,NEWU11,Multicategoria,Multicategoria,FII
NEXG11,NEXG11,Outros,Outros,FII
NSLU11,NSLU11,Hospital,Hospital,FII
NVHO11,NVHO11,Hospital,Hospital,FII
OCRE11,OCRE11,Multicategoria,Multicategoria,FII
OIAG11,OIAG11,Outros,Outros,FII
ONDV11,ONDV11,Outros,Outros,FII
OUJP11,OUJP11,Multicategoria,Multicategoria,FII
OULG11,OULG11,Logística,Logística,FII
PATA11,PATA11,Outros,Outros,FII
PATC11,PATC11,Outros,Outros,FII
PATL11,PATL11,Logística,Logística,FII
PCIP11,PCIP11,Outros,Outros,FII
PDBM11,PDBM11,Outros,Outros,FII
PEMA11,PEMA11,Multicategoria,Multicategoria,FII
PLAG11,PLAG11,Outros,Outros,FII
PLCA11,PLCA11,Títulos e Val. Mob.,Títulos e Val. Mob.,FII
PLRI11,PLRI11,Multicategoria,Multicategoria,FII
PMFO11,PMFO11,Outros,Outros,FII
PMIS11,PMIS11,Outros,Outros,FII
PMLL11,PMLL11,Shoppings,Shoppings,FII
PNCR11,PNCR11,Residencial,Residencial,FII
PNDL11,PNDL11,Multicategoria,Multicategoria,FII
PNPR11,PNPR11,Multicategoria,Multicategoria,FII
PORD11,PORD11,Multicategoria,Multicategoria,FII
PQAG11,PQAG11,Logística,Logística,FII
PQDP11,PQDP11,Shoppings,Shoppings,FII
PRSN11,PRSN11,Multicategoria,Multicategoria,FII
PRSV11,PRSV11,Escritórios,Escritórios,FII
PULV11,PULV11,Outros,Outros,FII
PVBI11,PVBI11,Escritórios,Escritórios,FII
QAGR11,QAGR11,Outros,Outros,FII
RBCO11,RBCO11,Escritórios,Escritórios,FII
RBDS11,RBDS11,Residencial,Residencial,FII
RBFF11,RBFF11,Outros,Outros,FII
RBHG11,RBHG11,Outros,Outros,FII
RBHY11,RBHY11,Outros,Outros,FII
RBIR11,RBIR11,Residencial,Residencial,FII
RBLG11,RBLG11,Logística,Logística,FII
RBOP11,RBOP11,Outros,Outros,FII
RBRD11,RBRD11,Multicategoria,Multicategoria,FII
RBRF11,RBRF11,Multicategoria,Multicategoria,FII
RBRI11,RBRI11,Outros,Outros,FII
RBRL11,RBRL11,Logística,Logística,FII
RBRP11,RBRP11,Outros,Outros,FII
RBRR11,RBRR11,Outros,Outros,FII
RBRS11,RBRS11,Residencial,Residencial,FII
RBRX11,RBRX11,Outros,Outros,FII
RBRY11,RBRY11,Outros,Outros,FII
RBTS11,RBTS11,Multicategoria,Multicategoria,FII
RBVA11,RBVA11,Varejo,Varejo,FII
RCRB11,RCRB11,Escritórios,Escritórios,FII
RCRI11,RCRI11,Outros,Outros,FII
RECD11,RECD11,Outros,Outros,FII
RECM11,RECM11,Multicategoria,Multicategoria,FII
RECR11,RECR11,Multicategoria,Multicategoria,FII
RECT11,RECT11,Multicategoria,Multicategoria,FII
REIT11,REIT11,Outros,Outros,FII
RELG11,RELG11,Multicategoria,Multicategoria,FII
RENV11,RENV11,Multicategoria,Multicategoria,FII
RFOF11,RFOF11,Outros,Outros,FII
RINV11,RINV11,Outros,Outros,FII
RMAI11,RMAI11,Outros,Outros,FII
RNGO11,RNGO11,Escritórios,Escritórios,FII
RPRI11,RPRI11,Outros,Outros,FII
RRCI11,RRCI11,Outros,Outros,FII
RSPD11,RSPD11,Residencial,Residencial,FII
RURA11,RURA11,Títulos e Val. Mob.,Títulos e Val. Mob.,FII
RVBI11,RVBI11,Outros,Outros,FII
RZAG11,RZAG11,Títulos e Val. Mob.,Títulos e Val. Mob.,FII
RZAK11,RZAK11,Outros,Outros,FII
RZAT11,RZAT11,Outros,Outros,FII
RZEO11,RZEO11,Outros,Outros,FII
RZLC11,RZLC11,Outros,Outros,FII
RZTR11,RZTR11,Outros,Outros,FII
RZZR11,RZZR11,Logística,Logística,FII
SADI11,SADI11,Multicategoria,Multicategoria,FII
SAPI11,SAPI11,Multicategoria,Multicategoria,FII
SARE11,SARE11,Multicategoria,Multicategoria,FII
SCPF11,SCPF11,Shoppings,Shoppings,FII
SEQR11,SEQR11,Logística,Logística,FII
SHOP11,SHOP11,Shoppings,Shoppings,FII
SHPH11,SHPH11,Shoppings,Shoppings,FII
SHPP11,SHPP11,Shoppings,Shoppings,FII
SJAU11,SJAU11,Logística,Logística,FII
SMRE11,SMRE11,Multicategoria,Multicategoria,FII
SNAG11,SNAG11,Multicategoria,Multicategoria,FII
SNCI11,SNCI11,Outros,Outros,FII
SNEL11,SNEL11,Outros,Outros,FII
SNFF11,SNFF11,Outros,Outros,FII
SNFZ11,SNFZ11,Multicategoria,Multicategoria,FII
SNLG11,SNLG11,Logística,Logística,FII
SNME11,SNME11,Outros,Outros,FII
SOFF11,SOFF11,Outros,Outros,FII
SPG211,SPG211,Outros,Outros,FII
SPTW11,SPTW11,Outros,Outros,FII
SPXS11,SPXS11,Outros,Outros,FII
STRX11,STRX11,Shoppings,Shoppings,FII
TELM11,TELM11,Outros,Outros,FII
TEPP11,TEPP11,Outros,Outros,FII
TGAR11,TGAR11,Multicategoria,Multicategoria,FII
TJKB11,TJKB11,Hospital,Hospital,FII
TMPS11,TMPS11,Outros,Outros,FII
TOPP11,TOPP11,Outros,Outros,FII
TORD11,TORD11,Multicategoria,Multicategoria,FII
TRBL11,TRBL11,Logística,Logística,FII
TRNT11,TRNT11,Escritórios,Escritórios,FII
TRXB11,TRXB11,Multicategoria,Multicategoria,FII
TRXF11,TRXF11,Multicategoria,Multicategoria,FII
TRXY11,TRXY11,Multicategoria,Multicategoria,FII
TVRI11,TVRI11,Escritórios,Escritórios,FII
URHF11,URHF11,Multicategoria,Multicategoria,FII
URPR11,URPR11,Outros,Outros,FII
VCJR11,VCJR11,Outros,Outros,FII
VCRA11,VCRA11,Títulos e Val. Mob.,Títulos e Val. Mob.,FII
VCRI11,VCRI11,Outros,Outros,FII
VCRR11,VCRR11,Logística,Logística,FII
VGHF11,VGHF11,Outros,Outros,FII
VGIA11,VGIA11,Outros,Outros,FII
VGII11,VGII11,Multicategoria,Multicategoria,FII
VGIP11,VGIP11,Outros,Outros,FII
VGIR11,VGIR11,Outros,Outros,FII
VGRI11,VGRI11,Outros,Outros,FII
VHFA11,VHFA11,Outros,Outros,FII
VILG11,VILG11,Logística,Logística,FII
VINO11,VINO11,Multicategoria,Multicategoria,FII
VISC11,VISC11,Shoppings,Shoppings,FII
VIUR11,VIUR11,Outros,Outros,FII
VOTS11,VOTS11,Multicategoria,Multicategoria,FII
VPSI11,VPSI11,Shoppings,Shoppings,FII
VRTA11,VRTA11,Outros,Outros,FII
VRTM11,VRTM11,Multicategoria,Multicategoria,FII
VSHO11,VSHO11,Shoppings,Shoppings,FII
VSLH11,VSLH11,Multicategoria,Multicategoria,FII
VTLT11,VTLT11,Logística,Logística,FII
VTPL11,VTPL11,Outros,Outros,FII
VVCR11,VVCR11,Outros,Outros,FII
VVMR11,VVMR11,Multicategoria,Multicategoria,FII
VVRI11,VVRI11,Multicategoria,Multicategoria,FII
VXXV11,VXXV11,Outros,Outros,FII
WHGR11,WHGR11,Multicategoria,Multicategoria,FII
WPLZ11,WPLZ11,Shoppings,Shoppings,FII
WSEC11,WSEC11,Outros,Outros,FII
WTSP11,WTSP11,Multicategoria,Multicategoria,FII
XPCA11,XPCA11,Multicategoria,Multicategoria,FII
XPCI11,XPCI11,Outros,Outros,FII
XPCM11,XPCM11,Escritórios,Escritórios,FII
XPIN11,XPIN11,Logística,Logística,FII
XPLG11,XPLG11,Logística,Logística,FII
XPML11,XPML11,Shoppings,Shoppings,FII
XPSF11,XPSF11,Outros,Outros,FII
ZAGH11,ZAGH11,Outros,Outros,FII
ZAVC11,ZAVC11,Outros,Outros,FII
ZAVI11,ZAVI11,Multicategoria,Multicategoria,FII
ZIFI11,ZIFI11,Outros,Outros,FII
